AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Symphyotrichum ericoides,SYER,NA,NA
Baptisia tinctoria,BATI,NA,NA
Cystopteris fragilis,CYFR2,Propagate by division.,Propagate by division.
Dicentra cucullaria,DICU,"Propagate by division of crowns and tubers in fall or early spring, or by seed. Plant large tubers about 1 in. deep; smaller ones 1/2 in. deep. Seeds should be planted immediately or stored in damp sphagnum moss. Sow seeds and sphagnum in a thin layer","Propagate by division of crowns and tubers in fall or early spring, or by seed. Plant large tubers about 1 in. deep; smaller ones 1/2 in. deep. Seeds should be planted immediately or stored in damp sphagnum moss. Sow seeds and sphagnum in a thin layer"
Gillenia trifoliata,GITR6,Propagate by seed planted in early spring or by division.,Propagate by seed planted in early spring or by division.
Monarda fistulosa,MOBR2,Very easy to start from seed.,NA
Phlox bifida,PHBI3,NA,NA
Phlox glaberrima,PHGL4,NA,NA
Phlox pilosa,PHPI,Propagation is possible by,"Propagation is possible by stem cuttings in late spring, root cuttings taken in fall after leaves have reappeared, or by seed. Seed is unpredictable."
Sanguisorba canadensis,SACA14,NA,NA
Sarracenia purpurea,SAPU4,NA,NA
Sisyrinchium angustifolium,SIAN3,"Propagate by seed or division. Several dozen divisions can be expected from a mature, healthy specimen.","Propagate by seed or division. Several dozen divisions can be expected from a mature, healthy specimen."
Veronicastrum virginicum,VEVI4,"Most easily propagated by root divisions in late fall or early spring. Each rootstock segment must have a bud. Sow seeds in fall or provide cold stratification. Also propagated by ""softwood"" cuttings taken in late spring.","Most easily propagated by root divisions in late fall or early spring. Each rootstock segment must have a bud. Sow seeds in fall or provide cold stratification. Also propagated by ""softwood"" cuttings taken in late spring."
Viburnum lentago,VILE,NA,NA
Cornus alternifolia,COAL2,Propagate by seed or softwood cuttings. The cuttings must not be disturbed until they have been allowed to go through a winter dormancy and have begun spring growth.,Propagate by seed or softwood cuttings. The cuttings must not be disturbed until they have been allowed to go through a winter dormancy and have begun spring growth.
Caulophyllum thalictroides,CATH2,NA,NA
Vaccinium vitis-idaea,VAVI,"Vaccinium species are propagated by seeds, cuttings and rooted suckers of offshoots.","Vaccinium species are propagated by seeds, cuttings and rooted suckers of offshoots."
Trillium flexipes,TRFL6,NA,NA
Coreopsis verticillata,COVE5,Propagate by dividing either in the fall or early spring. Seeds may be sown outside in late fall or the following spring without any cold treatment. Seedlings grow rapidly.,Propagate by dividing either in the fall or early spring. Seeds may be sown outside in late fall or the following spring without any cold treatment. Seedlings grow rapidly.
Oenothera tetragona,OEFRT,NA,NA
Yucca flaccida,YUFL2,NA,NA
Shepherdia argentea,SHAR,Plant is best propagated by cuttings. Treated seeds will also work.,Plant is best propagated by cuttings. Treated seeds will also work.
Morus rubra,MORU2,NA,NA
Asclepias syriaca,ASSY,Spreads via rhizomes and forms small to large clones. Rhizomes can be cut and transplanted early in the spring.,Spreads via rhizomes and forms small to large clones. Rhizomes can be cut and transplanted early in the spring.
Abies fraseri,ABFR,NA,NA
Allium cernuum,ALCE2,Easily propagated by seed or,"Easily propagated by seed or bulb division. Plant seeds outdoors in fall. Seeds germinate best if scarified. Offset bulblets, which form around the base of the larger bulbs, can be divided in fall."
Aralia racemosa,ARRA,Divide old rootstocks when the plants go dormant in the fall. Plants may be slow to bloom after being disturbed. Propagation may be possible by seed.,Divide old rootstocks when the plants go dormant in the fall. Plants may be slow to bloom after being disturbed. Propagation may be possible by seed.
Symphyotrichum lateriflorum,SYLA4,NA,NA
Betula lenta,BELE,Seeds have low viability. Germination is facilitated by exposure to light; never plant too deeply.,Seeds have low viability. Germination is facilitated by exposure to light; never plant too deeply.
Chamaelirium luteum,CHLU,NA,NA
Clethra acuminata,CLAC3,"Propagate by seed or softwood cuttings, with or without hormone treatment, under mist.","Propagate by seed or softwood cuttings, with or without hormone treatment, under mist."
Collinsonia canadensis,COCA4,NA,NA
Corylus cornuta,COCO6,Corylus spp. may be propagated by seed. Rooted pieces may be separated from the plant for increase.,Corylus spp. may be propagated by seed. Rooted pieces may be separated from the plant for increase.
Gillenia stipulata,GIST5,NA,NA
Kalmia angustifolia,KAAN,NA,NA
Eubotrys racemosa,EURA14,NA,NA
Magnolia fraseri,MAFR,NA,NA
Prunus serotina,PRSE2,"Seeds require cold stratification, with variety","Seeds require cold stratification, with variety eximia also needing after-ripening followed by warm stratification before cold stratification. Cuttings that work best are summer semi-hardwood."
Solidago juncea,SOJU,"Plant seeds outdoors in fall or store, stratify and plant in spring.","Plant seeds outdoors in fall or store, stratify and plant in spring."
Tsuga caroliniana,TSCA2,"Layering has proven successful, as has propagation by seed and cuttings. Cutting must be treated.","Layering has proven successful, as has propagation by seed and cuttings. Cutting must be treated."
Vaccinium stamineum,VAST,NA,NA
Vernonia noveboracensis,VENO,"Sow seeds in fall or provide cold stratification. Germination is usually low so sow thickly. Also propagated by ""softwood"" cuttings taken in late spring or by division of clumps.","Sow seeds in fall or provide cold stratification. Germination is usually low so sow thickly. Also propagated by ""softwood"" cuttings taken in late spring or by division of clumps."
Ceanothus americanus,CEAM,NA,NA
Leiophyllum buxifolium,LEBU,"Increase with seeds under a mist tent, root cuttings, layering, or","Increase with seeds under a mist tent, root cuttings, layering, or stem cuttings."
Thalictrum dasycarpum,THDA,Propagate by seed.,Propagate by seed.
Betula alleghaniensis,BEAL2,Sow seed as soon as ripe. Germination is facilitated by exposure to light; never plant too deeply.,Sow seed as soon as ripe. Germination is facilitated by exposure to light; never plant too deeply.
Lysimachia ciliata,LYCI,Propagate by division of mature plants or,Propagate by division of mature plants or rhizome cuttings in spring or fall. Seeds require light for germination so sow on top of soil.
Silene acaulis,SIAC,Can be propagated from,"Can be propagated from stem cuttings. Plants come easily from seed, and should be transplanted to the rockery when the rosettes get 1-2 in. across."
Potentilla verna,PONE20,NA,NA
Gelsemium sempervirens,GESE,NA,NA
Sabal palmetto,SAPA,Propagation is only from seed.,Propagation is only from seed.
Diospyros virginiana,DIVI5,Germinates easily from stratified seeds; seedling grow slowly. Bury root cuttings in moist sand over winter and lift when,"Germinates easily from stratified seeds; seedling grow slowly. Bury root cuttings in moist sand over winter and lift when shoot is well developed. Difficult to transplant because of a deep, coarse root system. This plant may be grafted like other frui"
Abies lasiocarpa,ABLA,"This species should be sown from seed. It is a slow process. In nature, Abies seeds often germinate on melting snow fields.","This species should be sown from seed. It is a slow process. In nature, Abies seeds often germinate on melting snow fields."
Magnolia macrophylla,MAMA2,Fresh seed sown in fall; stratified seed; semi-hardwood cuttings taken in summer,Fresh seed sown in fall; stratified seed; semi-hardwood cuttings taken in summer
Picea sitchensis,PISI,Sitka spruce is propagated from seed which is slow to germinate. Cuttings root in low percentages.,Sitka spruce is propagated from seed which is slow to germinate. Cuttings root in low percentages.
Nyssa sylvatica,NYSY,"Sow fresh or stratified seed in a moist, muddy soil covered by one inch of firm soil. Seedlings benefit from partial shade.","Sow fresh or stratified seed in a moist, muddy soil covered by one inch of firm soil. Seedlings benefit from partial shade."
Amelanchier alnifolia,AMAL2,This species can be rooted from early spring hardwood cuttings or softwood cutting taken in the summer. Layering or separation of suckers from parent plants is another means of increase. Sow untreated seeds in fall or cold-stratified seed in spring.,This species can be rooted from early spring hardwood cuttings or softwood cutting taken in the summer. Layering or separation of suckers from parent plants is another means of increase. Sow untreated seeds in fall or cold-stratified seed in spring.
Cornus nuttallii,CONU4,"Sow seeds outdoors immediately after collection or stratify and sow the following spring. The fleshy coat should be removed. This species will root from softwood or semi-hardwood cuttings taken in summer, but success is not as high as with the eastern f","Sow seeds outdoors immediately after collection or stratify and sow the following spring. The fleshy coat should be removed. This species will root from softwood or semi-hardwood cuttings taken in summer, but success is not as high as with the eastern f"
Carya illinoinensis,CAIL2,NA,NA
Symphoricarpos orbiculatus,SYOR,Semi-hardwood cuttings from current growth.,Semi-hardwood cuttings from current growth.
Ribes sanguineum,RISA,"Take softwood cuttings in June or July. These root well when treated with hormone and placed under mist. Seeds may be fall sown or stratified. Hardwood cuttings, taken in fall are also used. Currants are easily layered as well.","Take softwood cuttings in June or July. These root well when treated with hormone and placed under mist. Seeds may be fall sown or stratified. Hardwood cuttings, taken in fall are also used. Currants are easily layered as well."
Tsuga heterophylla,TSHE,"Layering has proven successful, as has propagation by seed and cuttings. Cuttings must be treated and kept under mist.","Layering has proven successful, as has propagation by seed and cuttings. Cuttings must be treated and kept under mist."
Vitis aestivalis,VIAE,NA,NA
Cupressus arizonica,HEAR22,NA,Propagate by seed or treated cuttings taken in late fall. Stratified seeds will germinate at 72 degrees.
Pinus taeda,PITA,"Sow fresh, untreated seed in late fall.","Sow fresh, untreated seed in late fall."
Populus fremontii,POFR2,"Cottonwoods can be propagated by fresh seeds, cuttings or layering. Fresh seed is viable only a few days. Seeds should not be covered and seedbed should be kept saturated the first month.","Cottonwoods can be propagated by fresh seeds, cuttings or layering. Fresh seed is viable only a few days. Seeds should not be covered and seedbed should be kept saturated the first month."
Opuntia engelmannii,OPEN3,NA,NA
Abies procera,ABPR,"This species is propagated from seed. In nature, Abies seeds often germinate on melting snow fields.","This species is propagated from seed. In nature, Abies seeds often germinate on melting snow fields."
Alnus incana,ALIN2,Seeds of most alders germinate when they are fresh without pretreatment.,Seeds of most alders germinate when they are fresh without pretreatment.
Carya cordiformis,CACO15,Most easily grown from fresh seed sown immediately after collection or stratified and sown in spring. Increase by hardwood cuttings is usually successful.,Most easily grown from fresh seed sown immediately after collection or stratified and sown in spring. Increase by hardwood cuttings is usually successful.
Abies grandis,ABGR,"Abies spp. are best propagated by seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields.","Abies spp. are best propagated by seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields."
Acer circinatum,ACCI,NA,"Vine maple can be grown from seeds or from well-rooted, layered branches. Seeds should be sown soon after harvest."
Agastache cana,AGCA,NA,NA
Helianthus strumosus,HEST,Excellent germination occurs with seeds that have been refrigerated over winter.,"Excellent germination occurs with seeds that have been refrigerated over winter. Stem cuttings can be taken before flowering, but the easiest method of increase in to divide the clump in early spring."
Helianthus maximiliani,HEMA2,Excellent germination occurs with seeds that have been refrigerated over winter.,"Excellent germination occurs with seeds that have been refrigerated over winter. Stem cuttings can be taken before flowering, but the easiest method of increase in to divide the clump in early spring, replant and water immediately."
Aesculus flava,AEFL,"Either stratify the seed or plant fresh seed in the fall, 2 in. deep, allowing it to naturally stratify during the winter.","Either stratify the seed or plant fresh seed in the fall, 2 in. deep, allowing it to naturally stratify during the winter."
Anemone virginiana,ANVI3,Grow from seed sown in fall or early spring. Older plants can be divided.,Grow from seed sown in fall or early spring. Older plants can be divided.
Spiraea alba,SPAL2,NA,NA
Thalictrum pubescens,THPU2,Separate offsets while the plant is dormant in spring or fall. Plant seeds as soon as they ripen. Seeds may not germinate until the second year.,Separate offsets while the plant is dormant in spring or fall. Plant seeds as soon as they ripen. Seeds may not germinate until the second year.
Anemone cylindrica,ANCY,Easily propagated from seed sown in fall or early spring. Older plants can be divided in early spring.,Easily propagated from seed sown in fall or early spring. Older plants can be divided in early spring.
Impatiens capensis,IMCA,NA,NA
Teucrium canadense,TECA3,NA,NA
Amorpha canescens,AMCA6,Scarified seeds may be planted in fall or cold-damp stratified and planted in the spring. Some references say fall sown seed need not be treated. Seedlings take 4 years to reach maturity and flowering.,Scarified seeds may be planted in fall or cold-damp stratified and planted in the spring. Some references say fall sown seed need not be treated. Seedlings take 4 years to reach maturity and flowering.
Lupinus perennis,LUPE3,"Best propagated from dry, treated seed in spring. Fresh-sown seed does not need treatment. Do not plant more than 3/4 in. deep. Does not transplant well due to deep","Best propagated from dry, treated seed in spring. Fresh-sown seed does not need treatment. Do not plant more than 3/4 in. deep. Does not transplant well due to deep tap root"
Scutellaria lateriflora,SCLA2,NA,NA
Antennaria plantaginifolia,ANPL,NA,NA
Heterotheca villosa,HEVI4,NA,NA
Ratibida columnifera,RACO3,"Very easy to propagate from seed in spring or fall though a fall seeding is recommended. Seeds do not have to be treated but may benefit from a period of stratification. Plants from seed usually bloom the second year. Be sure the seed is in good contact with the soil by lightly raking it into loose topsoil. Seeding rate is two to four pounds per acre. There are approximately 1,230,000 seeds per pound.","Very easy to propagate from seed in spring or fall though a fall seeding is recommended. Seeds do not have to be treated but may benefit from a period of stratification. Plants from seed usually bloom the second year. Be sure the seed is in good contact with the soil by lightly raking it into loose topsoil. Seeding rate is two to four pounds per acre. There are approximately 1,230,000 seeds per pound."
Picea engelmannii,PIEN,Seeds of most Picea species germinate promptly without pretreatment. Cuttings root in low percentages.,Seeds of most Picea species germinate promptly without pretreatment. Cuttings root in low percentages.
Picea rubens,PIRU,NA,NA
Sanguisorba officinalis,SAOF3,NA,NA
Asclepias speciosa,ASSP,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by moist stratification.,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by moist stratification.
Berberis repens,MARE11,"Propagate using treated seed, divisions, or leafy, spring cuttings. The easiest method is spring or fall divisions.","Propagate using treated seed, divisions, or leafy, spring cuttings. The easiest method is spring or fall divisions."
Liatris punctata,LIPU,"Scarified seeds may be sown outside in late fall or stored, stratified and sown the following spring. Some sources suggest spring seedlings will appear by simply laying the flowering stalk in an outdoor seedbed and covering with 1/2 in. of soil in the fall. Gay feather can also be established by dividing corms in late fall to early spring. Lift the mature clump and separate the corms with a sharp knife: replant and water thoroughly. Allow 2 feet between plants in a","Scarified seeds may be sown outside in late fall or stored, stratified and sown the following spring. Some sources suggest spring seedlings will appear by simply laying the flowering stalk in an outdoor seedbed and covering with 1/2 in. of soil in the fall. Gay feather can also be established by dividing corms in late fall to early spring. Lift the mature clump and separate the corms with a sharp knife: replant and water thoroughly. Allow 2 feet between plants in a perennial border."
Populus tremuloides,POTR5,"Easy to propagate from suckers or cuttings, though when available, fresh seeds germinate readily in high percentages. Fresh seed is viable only a few days. Seeds should not be covered and seedbed should be kept saturated the first month.","Easy to propagate from suckers or cuttings, though when available, fresh seeds germinate readily in high percentages. Fresh seed is viable only a few days. Seeds should not be covered and seedbed should be kept saturated the first month."
Solidago gigantea,SOGI,NA,NA
Symphyotrichum novi-belgii,SYNO3,NA,NA
Darmera peltata,DAPE,Pieces of,Pieces of rhizome readily establish.
Acer pensylvanicum,ACPE,"Propagate by stratified seed or cuttings. Late softwood or semi-hardwood cuttings may root under mist, however percentages are often low.","Propagate by stratified seed or cuttings. Late softwood or semi-hardwood cuttings may root under mist, however percentages are often low."
Stewartia ovata,STOV,One method of propagation by seed is to sow fresh seeds in cold frame or greenhouse and keep the seedlings lightly shaded the first year. Another method is to double-stratify the seeds and fall sow in a well-protected spot. Germination may take two year,One method of propagation by seed is to sow fresh seeds in cold frame or greenhouse and keep the seedlings lightly shaded the first year. Another method is to double-stratify the seeds and fall sow in a well-protected spot. Germination may take two year
Alnus serrulata,ALSE2,NA,NA
Bignonia capreolata,BICA,NA,NA
Diervilla sessilifolia,DISE,Propagate by seed or cuttings. Both softwood and semi-hardwoods cuttings root readily.,Propagate by seed or cuttings. Both softwood and semi-hardwoods cuttings root readily.
Fragaria virginiana,FRVI,"Seed germination is poor. Vegetative propagation, by separating rooted plantlets in spring or early summer or by","Seed germination is poor. Vegetative propagation, by separating rooted plantlets in spring or early summer or by stolon internode cuttings, is an effective means of increase."
Rhododendron vaseyi,RHVA,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Symplocos tinctoria,SYTI,NA,NA
Vaccinium crassifolium,VACR,NA,NA
Peltandra virginica,PEVI,NA,NA
Cotinus obovatus,COOB2,Few seeds are formed. Those sown immediately after collection may take two springs to germinate. Scarification and stratification hasten germination. Smoke-trees are also propagated from root or,Few seeds are formed. Those sown immediately after collection may take two springs to germinate. Scarification and stratification hasten germination. Smoke-trees are also propagated from root or stem cuttings or layering. Semi-hardwood or softwood cuttings should be taken in late spring after flowering.
Chilopsis linearis,CHLI2,"Propagate by fresh seed, dormant cuttings, or semi-hardwood cuttings in late summer.","Propagate by fresh seed, dormant cuttings, or semi-hardwood cuttings in late summer."
Persea borbonia,PEBO,Sow seeds directly after collection of stratify and sow in spring.,Sow seeds directly after collection of stratify and sow in spring.
Celtis laevigata,CELA,Stratified seed sown in spring or untreated seed sown in fall. Can be rooted from juvenile wood and from root sprouts or suckers.,Stratified seed sown in spring or untreated seed sown in fall. Can be rooted from juvenile wood and from root sprouts or suckers.
Blechnum occidentale,BLOC,NA,NA
Crataegus crus-galli,CRCR2,NA,NA
Viburnum prunifolium,VIPR,NA,NA
Helianthus angustifolius,HEAN2,NA,NA
Verbena bipinnatifida,GLBIB,"Propagate by seed, cuttings, or transplanting of small plants in winter. Transplant rooted cuttings as soon as they form roots. Plants along highways continually produce new growth where mowed. Cuttings taken in spring do better than those taken in summer. Plants start producing new growth mid-winter.","Propagate by seed, cuttings, or transplanting of small plants in winter. Transplant rooted cuttings as soon as they form roots. Plants along highways continually produce new growth where mowed. Cuttings taken in spring do better than those taken in summer. Plants start producing new growth mid-winter."
Adiantum capillus-veneris,ADCA,Propagated by,Propagated by rhizome division or spores.
Thalia geniculata,THGE2,NA,NA
Pistia stratiotes,PIST2,NA,NA
Phlebodium aureum,PHAU6,NA,NA
Abies magnifica,ABMA,"Abies spp. are best propagated by means of seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields.","Abies spp. are best propagated by means of seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields."
Carya glabra,CAGL8,Most easily grown from fresh seed sown immediately after collection or stratified and sown in spring. Increase by hardwood cuttings is usually successful.,Most easily grown from fresh seed sown immediately after collection or stratified and sown in spring. Increase by hardwood cuttings is usually successful.
Ostrya virginiana,OSVI,Sow immediately after collection or pre-treat and sow in early spring.,Sow immediately after collection or pre-treat and sow in early spring.
Pinus contorta,PICO,Easily propagated by seed.,Easily propagated by seed.
Pinus banksiana,PIBA2,"Seeds have no dormancy, or only a slight one, and will germinate immediately upon collection after a light stratification.","Seeds have no dormancy, or only a slight one, and will germinate immediately upon collection after a light stratification."
Pinus jeffreyi,PIJE,"Sow fresh, untreated seed in late fall.","Sow fresh, untreated seed in late fall."
Pinus rigida,PIRI,Propagate by seed.,Propagate by seed.
Quercus velutina,QUVE,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. This species is very difficult to transplant. Many oaks require cold temperatures to initiat,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. This species is very difficult to transplant. Many oaks require cold temperatures to initiat
Quercus imbricaria,QUIM,"Oaks are most often propagated from seed. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. If storing the seed to sow in spring, it must be stratifies. Many oaks require cold temperatures to initiate","Oaks are most often propagated from seed. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. If storing the seed to sow in spring, it must be stratifies. Many oaks require cold temperatures to initiate shoot developm"
Quercus macrocarpa,QUMA2,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â<U+0080><U+0093> outdoors or in deep containers to accomodate long initial taproot. The acorns sprout without a dormancy period and begin to germinate as soon as they fall from,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. The acorns sprout without a dormancy period and begin to germinate as soon as they fall from
Quercus stellata,QUST,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. The acorns sprout without a dormancy period and begin to germinate as soon as they fall.,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately â€“ outdoors or in deep containers to accomodate long initial taproot. The acorns sprout without a dormancy period and begin to germinate as soon as they fall.
Alnus rubra,ALRU2,NA,NA
Prunus virginiana,PRVI,"In addition to seed, Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Separate suckers from parent plant in spring.","In addition to seed, Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Separate suckers from parent plant in spring."
Quercus lyrata,QULY,NA,NA
Abies amabilis,ABAM,NA,NA
Fraxinus nigra,FRNI,Seeds may be sown outdoors after collection or stored and stratified then sown in spring.,Seeds may be sown outdoors after collection or stored and stratified then sown in spring.
Prunus pensylvanica,PRPE2,"Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification. Suckers can be separated from paren","Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification. Suckers can be separated from paren"
Acer spicatum,ACSP2,Propagation is possible by seed.,Propagation is possible by seed.
Pinus aristata,PIAR,Seeds have no dormancy and will germinate immediately upon collection. Watch for damping-off.,Seeds have no dormancy and will germinate immediately upon collection. Watch for damping-off.
Arctostaphylos uva-ursi,ARUV,"They are very difficult to transplant from the wild, but softwood cuttings are readily rooted. The surest means of propagation is by treated cuttings rooted in sand or layering.","They are very difficult to transplant from the wild, but softwood cuttings are readily rooted. The surest means of propagation is by treated cuttings rooted in sand or layering."
Ceanothus herbaceus,CEHE,NA,NA
Zanthoxylum americanum,ZAAM,Propagation by seed is possible.,Propagation by seed is possible.
Viola adunca,VIAD,NA,NA
Fothergilla gardenii,FOGA,Semi-hardwood cuttings root with or without hormone. Rooted cuttings should not be moved until new vegetative growth is over an inch long or normal winter dormancy is completed. Sucker can be separated to increase the plant. Progagation by seed is tric,Semi-hardwood cuttings root with or without hormone. Rooted cuttings should not be moved until new vegetative growth is over an inch long or normal winter dormancy is completed. Sucker can be separated to increase the plant. Progagation by seed is tric
Coreopsis rosea,CORO,Easily grown from seed. Mature plants may be increased by division.,Easily grown from seed. Mature plants may be increased by division.
Ilex decidua,ILDE,"Seeds germinate best if planted immediately after collection. They may be pretreated with double-stratification but the essential element seems to be time. Once internal conditions in the seed are right (it may take years), it will germinate in warm moi","Seeds germinate best if planted immediately after collection. They may be pretreated with double-stratification but the essential element seems to be time. Once internal conditions in the seed are right (it may take years), it will germinate in warm moi"
Helianthus decapetalus,HEDE,NA,NA
Staphylea trifolia,STTR,Softwood and hardwood cuttings root easily. Can also be grown from seed.,Softwood and hardwood cuttings root easily. Can also be grown from seed.
Hibiscus laevis,HILA2,NA,NA
Frangula caroliniana,FRCA13,Sow fresh seed without pretreatment or stored seed which has been stratified. Semi-hardwood cuttings taken in late summer or dormant hardwood cuttings root.,Sow fresh seed without pretreatment or stored seed which has been stratified. Semi-hardwood cuttings taken in late summer or dormant hardwood cuttings root.
Heuchera americana,HEAM6,Sow seed in spring. Divide root crown in spring or fall.,Sow seed in spring. Divide root crown in spring or fall.
Heuchera villosa,HEVI2,Propagate by division.,Propagate by division.
Lilium michiganense,LIMI9,Separate scales from central core of,"Separate scales from central core of bulb and plant. Transplant in fall. To propagate by seed, layer the seed in dampened sphagnum or peat in a sealable container. Seal and store at room temperature 6-8 weeks. Small bulblets will develop. Store in re"
Penstemon fruticosus,PEFR3,"Propagation by cuttings is quite easy. Seeds germinate without treatment, but yield is low. Young seedling tend to damp off.","Propagation by cuttings is quite easy. Seeds germinate without treatment, but yield is low. Young seedling tend to damp off."
Helianthus tuberosus,HETU,NA,NA
Aristolochia tomentosa,ARTO3,NA,NA
Hydrophyllum virginianum,HYVI,Division is the most practical method of increase. Divide the,"Division is the most practical method of increase. Divide the rhizome in fall or when plants go dormant, making sure each section has a leaf bud and some roots. For seed propagation, best results are obtained by sowing outdoors immediately after collection."
Eurybia macrophylla,EUMA27,"Sow seeds, 5/8"" deep, outside in fall or provide cold stratification. Also propagated by ""softwood"" cuttings taken in late spring or by division of clumps.","Sow seeds, 5/8"" deep, outside in fall or provide cold stratification. Also propagated by ""softwood"" cuttings taken in late spring or by division of clumps."
Penstemon heterophyllus,PEHE3,Propagate by seed sown in fall.,Propagate by seed sown in fall.
Asplenium nidus,ASNI,NA,NA
Silphium laciniatum,SILA3,Most easily propagated by seed. Seedlings take 2-3 years to flower. Sow unstratified seed in spring or stratified in fall. Deep roots make division difficult.,Most easily propagated by seed. Seedlings take 2-3 years to flower. Sow unstratified seed in spring or stratified in fall. Deep roots make division difficult.
Pinus edulis,PIED,"Sow fresh, untreated seed in late fall.","Sow fresh, untreated seed in late fall."
Osmunda spectabilis,OSRES,NA,NA
Quercus laurifolia,QULA3,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately – outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. No pretreatment is necessary. Plant immediately outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with
Rudbeckia nitida,RUNI3,NA,NA
Rudbeckia triloba,RUTR2,"Propagates very easily from seed sown in fall or spring. Large plants with numerous overlapping basal leaves, all from a single woody crown, may be divided in late winter or early spring","Propagates very easily from seed sown in fall or spring. Large plants with numerous overlapping basal leaves, all from a single woody crown, may be divided in late winter or early spring"
Crataegus mollis,CRMO2,Propagate using treated seed planted in fall. May not germinate until the second year.,Propagate using treated seed planted in fall. May not germinate until the second year.
Crataegus flava,CRFL2,Stratified seed will germinate.,Stratified seed will germinate.
Elymus glaucus,ELGL,Sow seed.,Sow seed.
Vitis labrusca,VILA8,NA,NA
Crataegus punctata,CRPU,Propagate using treated seed.,Propagate using treated seed.
Rhodiola rosea,RHRO3,NA,NA
Tsuga mertensiana,TSME,"Layering has proven successful, as has propagation by seed and cuttings. Cuttings must be treated and kept under mist.","Layering has proven successful, as has propagation by seed and cuttings. Cuttings must be treated and kept under mist."
Cunila origanoides,CUOR,NA,NA
Pachysandra procumbens,PAPR7,Propagate by division of established clumps in Aug. or Sept. Softwood cuttings may be taken in spring or early summer.,Propagate by division of established clumps in Aug. or Sept. Softwood cuttings may be taken in spring or early summer.
Chrysogonum virginianum,CHVI5,"Best propagated by division but can also be increased with ""softwood"" cuttings taken in late spring. Seed germination is uneven but some seeds, sown when the soil has reached 70 degrees will germinate. Divisions should be made in the fall or late winter","Best propagated by division but can also be increased with ""softwood"" cuttings taken in late spring. Seed germination is uneven but some seeds, sown when the soil has reached 70 degrees will germinate. Divisions should be made in the fall or late winter"
Chelone obliqua,CHOB3,NA,NA
Vaccinium macrocarpon,VAMA,Most commonly propagated by softwood cuttings taken in spring. Vaccinium will also root from hardwood cuttings of unbranched shoots of previous season. Seeds may need to be stratified and should be sown on a slightly acid soil mix.,Most commonly propagated by softwood cuttings taken in spring. Vaccinium will also root from hardwood cuttings of unbranched shoots of previous season. Seeds may need to be stratified and should be sown on a slightly acid soil mix.
Coreopsis auriculata,COAU,Seeds may be sown outside in late fall or the following spring without any cold treatment. Seedlings grow rapidly. This plant can be increased by separating outer rosettes from the clump in the fall.,Seeds may be sown outside in late fall or the following spring without any cold treatment. Seedlings grow rapidly. This plant can be increased by separating outer rosettes from the clump in the fall.
Athyrium filix-femina,ATFI,Division or spores.,Division or spores.
Zizia aptera,ZIAP,Plant stratified seed in fall. Germination is often low and is best in cool soil. Mature plants can be divided in spring or fall.,Plant stratified seed in fall. Germination is often low and is best in cool soil. Mature plants can be divided in spring or fall.
Bacopa caroliniana,BACA,NA,NA
Ceratophyllum demersum,CEDE4,NA,NA
Eleocharis palustris,ELPA3,NA,NA
